rating,vote,n_words,text,reviewTime_parsed
4.0,3199,8,"1283731200. Nano Gains Touch, Loses Video Playing & Recording",2010-09-06
5.0,3068,4,1214784000. Garmin Nuvi 255w,2008-06-30
5.0,3068,4,1214784000. Garmin Nuvi 255w,2008-06-30
3.0,2842,13,"1271376000. Not without flaws, but certainly more than just a glorified iPod Touch!",2010-04-16
5.0,2838,6,1253577600. Excellent features and amazing range,2009-09-22
4.0,2776,12,"1333324800. Works great with Windows 7, plus a comparison with competing products",2012-04-02
5.0,2754,1302,"REVOLUTIONARY, NOT EVOLUTIONARY: THE BEST BOSE YET. NOTE: See the second post in the comments section for my updates to this review. New one posted for July 2017: my QC20s bit the dust!

I don't use the word ""revolutionary"" casually. Truth is, a product rarely qualifies for that accolade. But knowing as much as I do about noise-cancelling technology, I would not have believed that what Bose has accomplished with the QC20 series was even possible. In fact, I'd say they've created the best all-around earphone or headphone on the market today for everyday use with portable music players. Note that I said ""best all-around"" which is not to say it's ""best"" in every category. If audiophile sound quality is your top priority, then look elsewhere, as both my Etymotic 4PT and Shure 530 series earphones sound better than the QC20s. However, those better-sounding 'phones have other drawbacks in actual use (more on that later), and they now sit in a drawer while the QC20s go with me everywhere. Bottom line: if you're looking for the best noise-cancelling on the market today, bar none, combined with very good sound, the ultimate in comfort and convenience, all in a very small, lightweight package, the QC20 is for you. This review will focus on a comparison of the QC20 with the QC15, as well as with the Etymotic 4PT and the Shure ES530, all of which I currently own and have used for some time. And please be sure to check out the ""Design Flaw"" section at the end of this review before deciding if the QC20 is for you.

Noise-cancelling: The QC20 is signifcantly better than my QC15. Look, I've used Bose QC headphones for years, but the QC20 actually made me gasp the first time I turned on its noise-cancelling circuit. I can only describe the effect as eerily silent, which seems impossible with an earphone that only lies against the opening of your ear, but doesn't go into the canal or encircle your ears like headphones. (By comparision, I never thought the noise cancelling on the QC3 was all that good.) In addition to achieving great noise-cancelling in an ""ear bud"" type design, Bose has also made real strides is quieting the sounds of speech, which--along with crying babies--have always largely evaded the capabilities of noise-cancelling systems. The QC20 is by no means perfect in silencing speech (or crying babies) but it's a clear step forward. My QC15s are going up for sale today.

Sound Quality: The sound of the QC20 is incrementally better than the QC15, but still lags behind the better in-ear 'phones like my Ety 4PT and Shure ES530. To my ears (Your Ears May Vary), the QC20 sound a bit veiled by comparison, and while the bass is certainly there, its quality and tightness just isn't as good. But let's put this in context: I""m talking about A/A+ sound for the Ety and Shure vs. B/B+ sound for the QC20. Plus, there are the drawbacks to the in-ear canal earphones: they silence outside sounds almost completely, which I find dangerous when walking the streets of NYC... and there's the incovenience of having to remove an earphone from the canal everytime you want to hear what someone is saying to you. The QC20 has an ""aware"" mode that allows in outside sound at the touch of a button. Also, with the Ety 4PT, I hear the microphonic thumping sound of the cable hitting my body when I walk--not as bad as earlier generations of the Ety cable, but still there. Finally, neither of these in-ear 'phones are comfortable for long-term wear, such as a cross-country flight. Again, Your Ears May Vary, but I have to remove them after a couple of hours.

Comfort: My QC15 headphones are certainly comfortable, but the soft silicone of the QC20 ear tips rest so comfortably against your ear openings that you simply forget you're wearing them at all. Most importantly, the Bose StayHear design of the tips keeps them in place, which is a huge deal for me. I have never been able to wear any ear bud design (and I think I've tried them all) because they fall out too easily. The Bose remain secure, but without force that would cause discomfort. The QC20s come with medium tips installed, but also include small and large sizes in the box.

Size/Weight: This is where the QC20 really trounces the QC15. The earphones store in a soft pouch that measures just 2.75 x 5 inches and they weigh next to nothing. As nice as the storage case is for the QC15, it just looks huge by comparison. I was concerned that the ""battery/control bar"" at the plug end of the QC20 might have size and weight that would make it clunky in use, but it's small, very thin, and almost as feather-weight as just the cable itself. The bar measures just 1""W x 3.5""L x 1/4""D. Weight is only 3/4 of an ounce, including the end cable and plug. That end cable is just long enough to allow for easy folding of the bar against the back of your phone or music player and easy insertion into your pocket.

Convenience: Minimal size/weight make the QC20 a ""take everywhere"" earphone. Includes a super lightweight lithium battery that runs for 16 hours on just a 2-hour charge from USB. (Bose includes the required USB to micro-USB charging cable.) The earphones will continue to function with a dead battery, but without noise-cancelling and with somewhat degraded sound quality... still, better than nothing. The integrated microphone makes it a perfect headset for use with iPhone and other cellular phones. (Note that you must order the QC20i for use with Apple products.) The microphone also includes an ""Aware Mode"" switch that allows in some outside noise, like traffic sounds--convenient AND an essential safety feature if wearing these in a city environment.

Design Flaw: The silicone eartips do not simply slide on and off the earphones. There are two slots cut into the silicone that fit over two small plastic tabs on the earphones and hold the eartips firmly in place. When trying to change the medium eartips to the small ones, I broke one of those tabs, and this was after reading the instructions, and following them as closely as I could. Bose provided an immediate exchange for me, so no problem there, but if you buy the QC20 and need to change the eartip size, I'd recommend getting on the phone with Bose customer service, which is superb, and let them guide you.

One final tip: if you buy directly from Bose, either online or at one of their stores. you get a 30-day, no questions asked, money-back guarantee they don't offer if you buy elsewhere. Use the 'phones all you want and, if you're not satisfied after a month, just return them for a full refund. Since new models of Bose products are never discounted anywhere, that risk-free trial is a big advantage to buying direct. Just be prepared for the fact that you will NOT be sending these earphones back! ;-)

Bottom line: overall, the QC20s are five star earphones with an asterisk due to the plastic tab design. Thanks for taking the time to read my review and I hope you find it helpful in making a buying decision. Again, if you look at the second post in the comments section, you will find my updates to this original review.",2013-08-19
2.0,2687,1140,"True 5.1 ruined for the sake of simplicity. I'm a HUGE Sonos fan.  I own 3 Play:5's and a Sub.  I'd been wanting to replace my bulky 5.1 speaker system with a Playbar since it was rumored.  All their products have incredible sound quality so I was optimistic about this set up.

Set up is easy, sound quality is good for the unit.  It's a nice product and looks great while being easy to operate (although more reliant on the Sonos application than I'd prefer).  It's the typical awesomeness that you get with any Sonos product.

When testing the Playbar with a direct connection to a device (e.g. Apple TV) and running it compared to my 5 speaker system through my receiver I was impressed with the quality.  Sound was more spread out and filled the room better but dialog/center was ultimately a bit shallow feeling.  If you turn on speech enhancement in the menu it helps out but something still feels slightly off.  It's something you're unlikely to notice unless you're actively comparing like I was but to the Playbar's credit it was no slouch.  I had a few people compare with me and everyone picked the typical 5.1 setup for better sound but had positive things to say about the Playbar - mainly noting its shallow feel in certain rangers and with dialog as the main issues.

Here's the issue though: Sonos says they want you to use your TV as a hub, all the inputs going to the TV and then optical audio out from the TV to the Playbar.  Great idea - but the problem is that most TV's won't pass Dolby Digital (DD) 5.1 surround from HDMI to the digital/optical audio.  If it's from the TV itself (such as Netflix on a smart TV) or input directly from the coaxial cable it will pass 5.1 through the optical port BUT not from HDMI.  This is either required to be HDCP compliant or is a licensing/cost issue (not sure).  There are a few tv's that do this but they're few and far between and hard to verify.

So if you have multiple sources (say an Xbox 360, Blu-Ray player, Apple TV, etc) there's no way for those sources to ever deliver 5.1 to the Playbar as Sonos intended (assuming you add a sub and some Play:3's to the mix).  And you can't wire multiple inputs directly to the Playbar because they have a single input for the sake of simplicity.  Normally I'm fine with this, but in light of the limitation with HDMI => optical pass through on TVs this became an oversight to me upon learning about the pass through issue.  You can solve this by finding a TV or receiver that does pass through DD 5.1 through the optical audio, but you shouldn't have to.  Alternatively you can use an optical audio switch, which is fine most of the time but may not work with a blu-ray player since Playbar lacks DTS support and are also limited on inputs, but this doesn't solve what to do for certain devices that don't have an optical audio port (e.g. most computers, Wii U, etc).

In the end you're left with a system that is capable of producing much better sound (especially if a sub and some Play:3s are added) that most everyone won't be able to hear and results in this not sounding as good as it costs.  And that's just a shame to me.

Pros:
++Easy set up
++Sonos
+Decent sound from stereo source

Cons:
---Single optical input only
--No DTS support
--Entire package is expensive for 5.1 (or even 3.1)

The only scenario I can see this being a good thing is if you have a room where you want to add a Sonos component and a soundbar to and you want to do it in a single package without caring about other components, like for a Den or a bedroom.  Any other solution seems like there'd be a better option.

Ultimately I'm disappointed.  Had Sonos included multiple audio inputs or HDMI pass through, or even better yet HDMI switching (in place of a receiver) then this could have been an amazing piece.  But the reliance on a single optical input being provided from the TV, one which will down convert any HDMI source's audio to stereo sound, in the name of simplicity just seems like a bad idea.

Had I known about the tv's not passing through audio I wouldn't have bought this.  My mistake, honestly, but it just makes it baffling as to why Sonos didn't provide different input options.  As it stands I'm returning it.  Hopefully Sonos will look in to making an HDMI hub option as an accessory.

** Update **
The landscape has changed in terms of tvs that do pass 5.1 through and it's better.  It's still difficult to determine precisely so I'd suggest checking forums to see if your TV does in indeed pass 5.1 out.  My 2015 LG OLED does not but I'm under the impression the 2017 models do, possibly the 2016 models for example.  That all said I think my points made above still stand.  Most existing TVs don't do this and it's still very hard to verify.

Additionally I'd like to note the omission of another audio format, Dolby Atmos.  Sonos says they elected to omit this on the Playbase (the related product to this) because so few things used it and they wanted to focus on streaming but the issue is this limits user choice.  Vudu, Netflix, and iTunes support or will support Dolby Atmos.  There are likely more services that do as well.

They have their very specific viewpoint of how people should use this product and with what (5.1 over optical in DD, steaming services) and that options aren't needed.  There are better products out there, especially for the total money spent.  I'm not saying there's no market for this or it's terrible - if you have a TV that passes 5.1 and you don't care about DTS and Dolby Atmos it's a fine product and exactly the scenario that Sonos has in mind.  But if you want options or don't have a TV that will and you'll be limited to stereo, look elsewhere then.  You can do better or cheaper.  It's just a shame that Sonos continues to limit this product as, when it works as they want it to, it's great.",2013-03-08
5.0,2561,12,1382486400. A very solid network attached storage device with remote access capabilities,2013-10-23
5.0,2437,7,1253059200. The 3rd generation's a charm,2009-09-16
